idPerfil,idBanco,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,,,
6,6,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,
8,8,,,,,,,,,,,,,,,,,,,,,,,,
9,9,,,,,,,,,,,,,,,,,,,,,,,,
10,10,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,,,,,,,,,,,,,,,
19,2,,,,,,,,,,,,,,,,,,,,,,,,
20,3,,,,,,,,,,,,,,,,,,,,,,,,
21,4,,,,,,,,,,,,,,,,,,,,,,,,
22,5,,,,,,,,,,,,,,,,,,,,,,,,
23,6,,,,,,,,,,,,,,,,,,,,,,,,
24,7,,,,,,,,,,,,,,,,,,,,,,,,
25,8,,,,,,,,,,,,,,,,,,,,,,,,
26,9,,,,,,,,,,,,,,,,,,,,,,,,
27,10,,,,,,,,,,,,,,,,,,,,,,,,
28,11,,,,,,,,,,,,,,,,,,,,,,,,
29,12,,,,,,,,,,,,,,,,,,,,,,,,
30,13,,,,,,,,,,,,,,,,,,,,,,,,
31,14,,,,,,,,,,,,,,,,,,,,,,,,
32,15,,,,,,,,,,,,,,,,,,,,,,,,
33,16,,,,,,,,,,,,,,,,,,,,,,,,
34,17,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,,,,,,,,,,,,,,,,,,,,,,,
36,2,,,,,,,,,,,,,,,,,,,,,,,,
37,3,,,,,,,,,,,,,,,,,,,,,,,,
38,4,,,,,,,,,,,,,,,,,,,,,,,,
39,5,,,,,,,,,,,,,,,,,,,,,,,,
40,6,,,,,,,,,,,,,,,,,,,,,,,,
41,7,,,,,,,,,,,,,,,,,,,,,,,,
42,8,,,,,,,,,,,,,,,,,,,,,,,,
43,9,,,,,,,,,,,,,,,,,,,,,,,,
44,10,,,,,,,,,,,,,,,,,,,,,,,,
45,11,,,,,,,,,,,,,,,,,,,,,,,,
46,12,,,,,,,,,,,,,,,,,,,,,,,,
47,13,,,,,,,,,,,,,,,,,,,,,,,,
48,14,,,,,,,,,,,,,,,,,,,,,,,,
49,15,,,,,,,,,,,,,,,,,,,,,,,,
50,16,,,,,,,,,,,,,,,,,,,,,,,,
51,17,,,,,,,,,,,,,,,,,,,,,,,,
52,1,,,,,,,,,,,,,,,,,,,,,,,,
53,2,,,,,,,,,,,,,,,,,,,,,,,,
54,3,,,,,,,,,,,,,,,,,,,,,,,,
55,4,,,,,,,,,,,,,,,,,,,,,,,,
56,5,,,,,,,,,,,,,,,,,,,,,,,,
57,6,,,,,,,,,,,,,,,,,,,,,,,,
58,7,,,,,,,,,,,,,,,,,,,,,,,,
59,8,,,,,,,,,,,,,,,,,,,,,,,,
60,9,,,,,,,,,,,,,,,,,,,,,,,,
61,10,,,,,,,,,,,,,,,,,,,,,,,,
62,11,,,,,,,,,,,,,,,,,,,,,,,,
63,12,,,,,,,,,,,,,,,,,,,,,,,,
64,13,,,,,,,,,,,,,,,,,,,,,,,,
65,14,,,,,,,,,,,,,,,,,,,,,,,,
66,15,,,,,,,,,,,,,,,,,,,,,,,,
67,16,,,,,,,,,,,,,,,,,,,,,,,,
68,17,,,,,,,,,,,,,,,,,,,,,,,,
69,1,,,,,,,,,,,,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,,,,,,,,,,,,
71,3,,,,,,,,,,,,,,,,,,,,,,,,
72,4,,,,,,,,,,,,,,,,,,,,,,,,
73,5,,,,,,,,,,,,,,,,,,,,,,,,
74,6,,,,,,,,,,,,,,,,,,,,,,,,
75,7,,,,,,,,,,,,,,,,,,,,,,,,
76,8,,,,,,,,,,,,,,,,,,,,,,,,
77,9,,,,,,,,,,,,,,,,,,,,,,,,
78,10,,,,,,,,,,,,,,,,,,,,,,,,
79,11,,,,,,,,,,,,,,,,,,,,,,,,
