idPerfil,idBanco,idBanco,Activo,Pasivo,Patrimonio,fecha,ActivoF,PasivoF,PatrimonioF
1,1,1,4997677,4806250,191427,2020-11-30,4997677000.00,4806250000.00,191427000.00
2,2,2,"1,945,686","1,618,324",327362,2020-11-30,1945686000.00,1618324000.00,327362000.00
3,3,3,"28,029,407","24,117,870",3911537,2020-11-30,28029407000.00,24117870000.00,3911537000.00
4,4,4,"107,179,306","98,184,177",8995129,2020-11-30,107179306000.00,98184177000.00,8995129000.00
5,5,5,"84,433,466","76,328,096",8105370,2020-11-30,84433466000.00,76328096000.00,8105370000.00
6,6,6,"11,090,004","10,082,494",1007510,2020-11-30,11090004000.00,10082494000.00,1007510000.00
7,7,7,"4,229,056","3,802,967",426089,2020-11-30,4229056000.00,3802967000.00,426089000.00
8,8,8,"784,319","628,204",156115,2020-11-30,784319000.00,628204000.00,156115000.00
9,9,9,"2,846,268","2,529,464",316804,2020-11-30,2846268000.00,2529464000.00,316804000.00
10,10,10,"17,681,466","15,924,584",1756882,2020-11-30,17681466000.00,15924584000.00,1756882000.00
11,11,11,"1,482,883","1,276,409",206474,2020-11-30,1482883000.00,1276409000.00,206474000.00
12,12,12,"34,342,100","31,287,473",3054627,2020-11-30,34342100000.00,31287473000.00,3054627000.00
13,13,13,"32,020,230","29,372,555",2647675,2020-11-30,32020230000.00,29372555000.00,2647675000.00
14,14,14,"55,685,038","50,553,052",5131986,2020-11-30,55685038000.00,50553052000.00,5131986000.00
15,15,15,"1,917,869","1,370,634",547235,2020-11-30,1917869000.00,1370634000.00,547235000.00
16,16,16,"939,617","816,529",123088,2020-11-30,939617000.00,816529000.00,123088000.00
17,17,17,"416,242","357,783",58459,2020-11-30,416242000.00,357783000.00,58459000.00
18,1,1,"5,701,976","5,468,203",233773,2020-12-31,5701976000.00,5468203000.00,233773000.00
19,2,2,"1,987,348","1,654,549",332799,2020-12-31,1987348000.00,1654549000.00,332799000.00
20,3,3,"27,839,545","23,956,103",3883442,2020-12-31,27839545000.00,23956103000.00,3883442000.00
21,4,4,"109,248,691","100,139,997",9108694,2020-12-31,109248691000.00,100139997000.00,9108694000.00
22,5,5,"85,157,529","77,260,902",7896627,2020-12-31,85157529000.00,77260902000.00,7896627000.00
23,6,6,"11,180,537","10,143,842",1036695,2020-12-31,11180537000.00,10143842000.00,1036695000.00
24,7,7,"4,824,523","4,481,708",342815,2020-12-31,4824523000.00,4481708000.00,342815000.00
25,8,8,"775,345","621,595",153750,2020-12-31,775345000.00,621595000.00,153750000.00
26,9,9,"3,063,499","2,744,551",318948,2020-12-31,3063499000.00,2744551000.00,318948000.00
27,10,10,"17,485,138","15,880,064",1605074,2020-12-31,17485138000.00,15880064000.00,1605074000.00
28,11,11,"1,467,480","1,269,750",197730,2020-12-31,1467480000.00,1269750000.00,197730000.00
29,12,12,"34,480,915","31,470,534",3010381,2020-12-31,34480915000.00,31470534000.00,3010381000.00
30,13,13,"31,812,010","29,175,847",2636163,2020-12-31,31812010000.00,29175847000.00,2636163000.00
31,14,14,"55,751,644","50,635,901",5115743,2020-12-31,55751644000.00,50635901000.00,5115743000.00
32,15,15,"1,934,437","1,374,482",559955,2020-12-31,1934437000.00,1374482000.00,559955000.00
33,16,16,"930,519","805,432",125087,2020-12-31,930519000.00,805432000.00,125087000.00
34,17,17,"425,317","366,104",59213,2020-12-31,425317000.00,366104000.00,59213000.00
35,1,1,"5,231,404","4,985,605",245799,2021-01-31,5231404000.00,4985605000.00,245799000.00
36,2,2,"2,037,146","1,702,746",334400,2021-01-31,2037146000.00,1702746000.00,334400000.00
37,3,3,"28,121,453","24,179,138",3942315,2021-01-31,28121453000.00,24179138000.00,3942315000.00
38,4,4,"109,911,171","100,683,638",9227533,2021-01-31,109911171000.00,100683638000.00,9227533000.00
39,5,5,"85,620,311","77,636,201",7984110,2021-01-31,85620311000.00,77636201000.00,7984110000.00
40,6,6,"11,322,296","10,275,207",1047089,2021-01-31,11322296000.00,10275207000.00,1047089000.00
41,7,7,"4,594,835","4,249,419",345416,2021-01-31,4594835000.00,4249419000.00,345416000.00
42,8,8,"788,552","632,870",155682,2021-01-31,788552000.00,632870000.00,155682000.00
43,9,9,"3,031,790","2,712,260",319530,2021-01-31,3031790000.00,2712260000.00,319530000.00
44,10,10,"17,969,928","16,351,145",1618783,2021-01-31,17969928000.00,16351145000.00,1618783000.00
45,11,11,"1,488,318","1,312,273",176045,2021-01-31,1488318000.00,1312273000.00,176045000.00
46,12,12,"34,701,142","31,655,966",3045176,2021-01-31,34701142000.00,31655966000.00,3045176000.00
47,13,13,"31,855,324","29,217,386",2637938,2021-01-31,31855324000.00,29217386000.00,2637938000.00
48,14,14,"56,554,430","51,416,248",5138182,2021-01-31,56554430000.00,51416248000.00,5138182000.00
49,15,15,"1,911,075","1,333,652",577423,2021-01-31,1911075000.00,1333652000.00,577423000.00
50,16,16,"929,271","803,626",125645,2021-01-31,929271000.00,803626000.00,125645000.00
51,17,17,"430,598","370,599",59999,2021-01-31,430598000.00,370599000.00,59999000.00
52,1,1,"5,393,023","5,139,261",253762,2021-02-28,5393023000.00,5139261000.00,253762000.00
53,2,2,"1,981,535","1,648,941",332594,2021-02-28,1981535000.00,1648941000.00,332594000.00
54,3,3,"28,133,805","24,278,645",3855160,2021-02-28,28133805000.00,24278645000.00,3855160000.00
55,4,4,"109,003,615","99,780,819",9222796,2021-02-28,109003615000.00,99780819000.00,9222796000.00
56,5,5,"86,213,140","78,154,425",8058715,2021-02-28,86213140000.00,78154425000.00,8058715000.00
57,6,6,"11,317,515","10,261,023",1056492,2021-02-28,11317515000.00,10261023000.00,1056492000.00
58,7,7,"4,336,361","3,987,399",348962,2021-02-28,4336361000.00,3987399000.00,348962000.00
59,8,8,"790,974","639,899",151075,2021-02-28,790974000.00,639899000.00,151075000.00
60,9,9,"3,154,878","2,832,356",322522,2021-02-28,3154878000.00,2832356000.00,322522000.00
61,10,10,"17,855,222","16,210,741",1644481,2021-02-28,17855222000.00,16210741000.00,1644481000.00
62,11,11,"1,509,598","1,328,401",181197,2021-02-28,1509598000.00,1328401000.00,181197000.00
63,12,12,"34,902,032","31,855,188",3046844,2021-02-28,34902032000.00,31855188000.00,3046844000.00
64,13,13,"31,969,271","29,315,476",2653795,2021-02-28,31969271000.00,29315476000.00,2653795000.00
65,14,14,"56,947,898","51,758,293",5189605,2021-02-28,56947898000.00,51758293000.00,5189605000.00
66,15,15,"1,911,612","1,321,946",589666,2021-02-28,1911612000.00,1321946000.00,589666000.00
67,16,16,"932,459","813,083",119376,2021-02-28,932459000.00,813083000.00,119376000.00
68,17,17,"447,673","396,504",51169,2021-02-28,447673000.00,396504000.00,51169000.00
69,1,1,"5,356,311","5,087,142",269169,2021-03-31,5356311000.00,5087142000.00,269169000.00
70,2,2,"1,972,203","1,636,625",335578,2021-03-31,1972203000.00,1636625000.00,335578000.00
71,3,3,"28,416,638","24,512,437",3904201,2021-03-31,28416638000.00,24512437000.00,3904201000.00
72,4,4,"111,009,867","101,506,303",9503564,2021-03-31,111009867000.00,101506303000.00,9503564000.00
73,5,5,"86,113,731","78,308,326",7805405,2021-03-31,86113731000.00,78308326000.00,7805405000.00
74,6,6,"11,173,738","10,105,272",1068466,2021-03-31,11173738000.00,10105272000.00,1068466000.00
75,7,7,"4,130,179","3,771,462",358717,2021-03-31,4130179000.00,3771462000.00,358717000.00
76,8,8,"765,157","612,983",152174,2021-03-31,765157000.00,612983000.00,152174000.00
77,9,9,"3,200,302","2,874,827",325475,2021-03-31,3200302000.00,2874827000.00,325475000.00
78,10,10,"17,813,585","16,038,592",1774993,2021-03-31,17813585000.00,16038592000.00,1774993000.00
79,11,11,"1,496,359","1,304,415",191944,2021-03-31,1496359000.00,1304415000.00,191944000.00
80,12,12,"35,026,529","31,934,202",3092327,2021-03-31,35026529000.00,31934202000.00,3092327000.00
81,13,13,"31,679,116","28,902,306",2776810,2021-03-31,31679116000.00,28902306000.00,2776810000.00
82,14,14,"56,173,977","51,111,840",5062137,2021-03-31,56173977000.00,51111840000.00,5062137000.00
83,15,15,"1,942,997","1,339,062",603935,2021-03-31,1942997000.00,1339062000.00,603935000.00
84,16,16,"930,229","810,130",120099,2021-03-31,930229000.00,810130000.00,120099000.00
85,17,17,"463,326","410,780",52546,2021-03-31,463326000.00,410780000.00,52546000.00
86,1,1,"5,534,610","5,253,869",280741,2021-04-30,5534610000.00,5253869000.00,280741000.00
87,2,2,"2,037,961","1,700,380",337581,2021-04-30,2037961000.00,1700380000.00,337581000.00
88,3,3,"28,676,074","24,692,534",3983540,2021-04-30,28676074000.00,24692534000.00,3983540000.00
89,4,4,"112,362,517","103,842,371",8520146,2021-04-30,112362517000.00,103842371000.00,8520146000.00
90,5,5,"87,432,128","79,520,305",7911823,2021-04-30,87432128000.00,79520305000.00,7911823000.00
91,6,6,"11,439,168","10,393,588",1045580,2021-04-30,11439168000.00,10393588000.00,1045580000.00
92,7,7,"4,312,208","3,944,125",368083,2021-04-30,4312208000.00,3944125000.00,368083000.00
93,8,8,"765,152","612,169",152983,2021-04-30,765152000.00,612169000.00,152983000.00
94,9,9,"3,165,145","2,838,471",326674,2021-04-30,3165145000.00,2838471000.00,326674000.00
95,10,10,"18,026,749","16,379,000",1647749,2021-04-30,18026749000.00,16379000000.00,1647749000.00
96,11,11,"1,536,311","1,340,610",195701,2021-04-30,1536311000.00,1340610000.00,195701000.00
97,12,12,"34,464,484","31,362,892",3101592,2021-04-30,34464484000.00,31362892000.00,3101592000.00
98,13,13,"32,333,473","29,487,991",2845482,2021-04-30,32333473000.00,29487991000.00,2845482000.00
99,14,14,"56,565,789","51,398,575",5167214,2021-04-30,56565789000.00,51398575000.00,5167214000.00
100,15,15,"1,936,622","1,317,803",618819,2021-04-30,1936622000.00,1317803000.00,618819000.00
101,16,16,"913,513","792,712",120801,2021-04-30,913513000.00,792712000.00,120801000.00
102,17,17,"493,224","440,444",52780,2021-04-30,493224000.00,440444000.00,52780000.00
103,1,1,"5,603,350","5,310,799",292551,2021-05-31,5603350000.00,5310799000.00,292551000.00
104,2,2,"2,010,207","1,670,702",339505,2021-05-31,2010207000.00,1670702000.00,339505000.00
105,3,3,"28,887,509","24,834,384",4053125,2021-05-31,28887509000.00,24834384000.00,4053125000.00
106,4,4,"112,844,349","104,174,738",8669611,2021-05-31,112844349000.00,104174738000.00,8669611000.00
107,5,5,"88,765,495","80,642,851",8122644,2021-05-31,88765495000.00,80642851000.00,8122644000.00
108,6,6,"11,480,163","10,422,292",1057871,2021-05-31,11480163000.00,10422292000.00,1057871000.00
109,7,7,"4,229,080","3,858,680",370400,2021-05-31,4229080000.00,3858680000.00,370400000.00
110,8,8,"773,247","618,676",154571,2021-05-31,773247000.00,618676000.00,154571000.00
111,9,9,"3,189,467","2,861,165",328302,2021-05-31,3189467000.00,2861165000.00,328302000.00
112,10,10,"18,600,360","16,908,350",1692010,2021-05-31,18600360000.00,16908350000.00,1692010000.00
113,11,11,"1,455,811","1,340,736",115075,2021-05-31,1455811000.00,1340736000.00,115075000.00
114,12,12,"34,241,674","31,109,129",3132545,2021-05-31,34241674000.00,31109129000.00,3132545000.00
115,13,13,"32,111,207","29,220,384",2890823,2021-05-31,32111207000.00,29220384000.00,2890823000.00
116,14,14,"56,792,070","51,571,478",5220592,2021-05-31,56792070000.00,51571478000.00,5220592000.00
117,15,15,"1,975,132","1,342,920",632212,2021-05-31,1975132000.00,1342920000.00,632212000.00
118,16,16,"892,368","770,735",121633,2021-05-31,892368000.00,770735000.00,121633000.00
119,17,17,"505,062","451,678",53384,2021-05-31,505062000.00,451678000.00,53384000.00
120,1,1,"5,697,101","5,394,659",302442,2021-06-30,5697101000.00,5394659000.00,302442000.00
121,2,2,"2,040,048","1,699,113",340935,2021-06-30,2040048000.00,1699113000.00,340935000.00
122,3,3,"29,401,801","25,278,440",4123361,2021-06-30,29401801000.00,25278440000.00,4123361000.00
123,4,4,"112,157,910","103,325,518",8832392,2021-06-30,112157910000.00,103325518000.00,8832392000.00
124,5,5,"89,306,747","81,077,435",8229312,2021-06-30,89306747000.00,81077435000.00,8229312000.00
125,6,6,"11,606,405","10,535,395",1071010,2021-06-30,11606405000.00,10535395000.00,1071010000.00
126,7,7,"4,327,959","3,940,159",387800,2021-06-30,4327959000.00,3940159000.00,387800000.00
127,8,8,"758,676","602,848",155828,2021-06-30,758676000.00,602848000.00,155828000.00
128,9,9,"3,308,694","2,973,152",335542,2021-06-30,3308694000.00,2973152000.00,335542000.00
129,10,10,"18,754,447","17,062,140",1692307,2021-06-30,18754447000.00,17062140000.00,1692307000.00
130,11,11,"1,461,456","1,345,850",115606,2021-06-30,1461456000.00,1345850000.00,115606000.00
131,12,12,"34,088,317","30,917,739",3170578,2021-06-30,34088317000.00,30917739000.00,3170578000.00
132,13,13,"32,407,601","29,470,436",2937165,2021-06-30,32407601000.00,29470436000.00,2937165000.00
133,14,14,"58,326,895","53,014,694",5312201,2021-06-30,58326895000.00,53014694000.00,5312201000.00
134,15,15,"1,992,287","1,350,817",641470,2021-06-30,1992287000.00,1350817000.00,641470000.00
135,16,16,"890,923","768,414",122509,2021-06-30,890923000.00,768414000.00,122509000.00
136,17,17,"503,984","449,839",54145,2021-06-30,503984000.00,449839000.00,54145000.00
137,1,1,"5,573,490","5,295,979",277511,2021-07-31,5573490000.00,5295979000.00,277511000.00
138,2,2,"2,056,943","1,713,945",342998,2021-07-31,2056943000.00,1713945000.00,342998000.00
139,3,3,"29,673,630","25,482,561",4191069,2021-07-31,29673630000.00,25482561000.00,4191069000.00
140,4,4,"116,070,499","107,068,050",9002449,2021-07-31,116070499000.00,107068050000.00,9002449000.00
141,5,5,"91,018,509","82,691,485",8327024,2021-07-31,91018509000.00,82691485000.00,8327024000.00
142,6,6,"11,993,491","10,909,739",1083752,2021-07-31,11993491000.00,10909739000.00,1083752000.00
143,7,7,"3,933,182","3,630,783",302399,2021-07-31,3933182000.00,3630783000.00,302399000.00
144,8,8,"761,006","604,527",156479,2021-07-31,761006000.00,604527000.00,156479000.00
145,9,9,"3,295,446","2,951,320",344126,2021-07-31,3295446000.00,2951320000.00,344126000.00
146,10,10,"18,930,936","17,209,200",1721736,2021-07-31,18930936000.00,17209200000.00,1721736000.00
147,11,11,"1,469,913","1,354,030",115883,2021-07-31,1469913000.00,1354030000.00,115883000.00
148,12,12,"33,734,254","30,556,609",3177645,2021-07-31,33734254000.00,30556609000.00,3177645000.00
149,13,13,"32,411,419","29,423,233",2988186,2021-07-31,32411419000.00,29423233000.00,2988186000.00
150,14,14,"59,419,330","54,055,231",5364099,2021-07-31,59419330000.00,54055231000.00,5364099000.00
151,15,15,"1,997,823","1,342,423",655400,2021-07-31,1997823000.00,1342423000.00,655400000.00
152,16,16,"907,060","782,810",124250,2021-07-31,907060000.00,782810000.00,124250000.00
153,17,17,"507,522","452,624",54898,2021-07-31,507522000.00,452624000.00,54898000.00
154,1,1,"5,773,458","5,486,153",287305,2021-08-31,5773458000.00,5486153000.00,287305000.00
155,2,2,"2,044,948","1,701,380",343568,2021-08-31,2044948000.00,1701380000.00,343568000.00
156,3,3,"30,001,132","25,735,495",4265637,2021-08-31,30001132000.00,25735495000.00,4265637000.00
157,4,4,"116,110,075","106,951,178",9158897,2021-08-31,116110075000.00,106951178000.00,9158897000.00
158,5,5,"91,047,476","82,527,220",8520256,2021-08-31,91047476000.00,82527220000.00,8520256000.00
159,6,6,"11,909,935","10,812,985",1096950,2021-08-31,11909935000.00,10812985000.00,1096950000.00
160,7,7,"3,843,377","3,535,972",307405,2021-08-31,3843377000.00,3535972000.00,307405000.00
161,8,8,"779,308","622,154",157154,2021-08-31,779308000.00,622154000.00,157154000.00
